698|Shuttle
7|Acer
702|Sweex
7060|Amped Wireless
7068|Chelsio
711|Vogel's
726|Evolve
7278|MM
728|Lenovo
7343|Artes
7363|Inca
737|Gembird
739|Gigabyte
74|Fellowes
745|Canyon
746|Dicota
749|Saitek
75|Fujifilm
7603|G&amp;G
7737|NGM-Mobile
7768|Mivar
78|Hercules
7877|Dikom
7892|Valueline
7916|WTI
7924|XOLO
793|Emtec
7939|Altronix
7964|Dicra
8|Adobe
80|iiyama
8052|B&amp;B Electronics
806|BTI
8067|KEEBOX
809|Contour Design
81|Imation
812|Draytek
8131|Mellanox Technologies
8189|Valcom
8208|Code Corporation
822|iSkin
8241|Solarflare Communications
8260|HandshoeMouse
8269|Amer Networks
83|Infocus
8329|Check Point Software Technologies
8357|Digium
8423|Intelbras
8436|On Networks
8447|Inland
8455|Netis System
8458|4World
848|Tucano
85|Intel
8508|MicroOptics
8509|MicroSpareparts
8568|Asano
8610|H3G
863|GBC
8658|Orava
87|Kensington
8718|PHICOMM
8761|Massive
88|Kodak
883|Orion
89|Labtec
8906|Tecmobile
9|Apple
91|Logitech
912|Hama
9209|Techly
927|Lenco
929|Melitta
93|Magix
934|Enterasys
944|Sennheiser
945|SonicWALL
96|Maxdata
964|QLogic
9644|Saeco
9710|Senseo
9836|L’Oréal Paris
9888|Digipower
993|Jet Tec
